Source,Standard,FTC (No.),CS (MPa),W/C,Min T (C),Max T (C),AE (0/1),DCS (MPa)
Shang et al.,GB/T 50082-2009,0,34.2,0.5,-15,6,0,34.2
Shang et al.,GB/T 50082-2009,25,34.2,0.5,-15,6,0,30
Shang et al.,GB/T 50082-2009,50,34.2,0.5,-15,6,0,24.1
Shang et al.,GB/T 50082-2009,75,34.2,0.5,-15,6,0,21.7
Cao et al.,GB/T 50082-2009,0,39.2,0.43,-17,8,0,39.2
Cao et al.,GB/T 50082-2009,25,39.2,0.43,-17,8,0,37
Cao et al.,GB/T 50082-2009,50,39.2,0.43,-17,8,0,34.7
Cao et al.,GB/T 50082-2009,75,39.2,0.43,-17,8,0,31.5
Cao et al.,GB/T 50082-2009,100,39.2,0.43,-17,8,0,29.3
Cao et al.,GB/T 50082-2009,125,39.2,0.43,-17,8,0,26
Cao et al.,GB/T 50082-2009,0,46.5,0.41,-17,8,1,46.5
Cao et al.,GB/T 50082-2009,25,46.5,0.41,-17,8,1,45.1
Cao et al.,GB/T 50082-2009,50,46.5,0.41,-17,8,1,42.8
Cao et al.,GB/T 50082-2009,75,46.5,0.41,-17,8,1,40.4
Cao et al.,GB/T 50082-2009,100,46.5,0.41,-17,8,1,37.7
Cao et al.,GB/T 50082-2009,125,46.5,0.41,-17,8,1,35.8
Fan et al.,GB/T 50082-2009,0,33.9,0.5,-20,4,0,33.9
Fan et al.,GB/T 50082-2009,25,33.9,0.5,-20,4,0,33.9
Fan et al.,GB/T 50082-2009,50,33.9,0.5,-20,4,0,30.2
Fan et al.,GB/T 50082-2009,100,33.9,0.5,-20,4,0,16.2
Fan et al.,GB/T 50082-2009,125,33.9,0.5,-20,4,0,17.2
Guan et al.,GB/T 50082-2009,0,37.1,0.53,-18,20,0,37.1
Guan et al.,GB/T 50082-2009,50,37.1,0.53,-18,20,0,35.4
Guan et al.,GB/T 50082-2009,100,37.1,0.53,-18,20,0,32.4
Guan et al.,GB/T 50082-2009,150,37.1,0.53,-18,20,0,31.6
Guan et al.,GB/T 50082-2009,200,37.1,0.53,-18,20,0,29.9
Guan et al.,GB/T 50082-2009,250,37.1,0.53,-18,20,0,29.3
Guan et al.,GB/T 50082-2009,300,37.1,0.53,-18,20,0,26.8
Hao et al.,GB/T 50082-2009,0,39.3,0.5,-15,8,0,39.3
Hao et al.,GB/T 50082-2009,25,39.3,0.5,-15,8,0,38.6
Hao et al.,GB/T 50082-2009,50,39.3,0.5,-15,8,0,36.2
Hao et al.,GB/T 50082-2009,75,39.3,0.5,-15,8,0,34.6
Hao et al.,GB/T 50082-2009,100,39.3,0.5,-15,8,0,32.7
Ma et al.,ASTM C666-97,0,57.2,0.4,-17,8,0,57.2
Ma et al.,ASTM C666-97,50,57.2,0.4,-17,8,0,48.7
Ma et al.,ASTM C666-97,100,57.2,0.4,-17,8,0,40.4
Ma et al.,ASTM C666-97,0,44.9,0.5,-17,8,0,44.9
Ma et al.,ASTM C666-97,50,44.9,0.5,-17,8,0,32
Ma et al.,ASTM C666-97,100,44.9,0.5,-17,8,0,20
Ma et al.,ASTM C666-97,0,43.6,0.4,-17,8,1,43.6
Ma et al.,ASTM C666-97,50,43.6,0.4,-17,8,1,40.9
Ma et al.,ASTM C666-97,100,43.6,0.4,-17,8,1,38
Ma et al.,ASTM C666-97,0,37.4,0.5,-17,8,1,37.4
Ma et al.,ASTM C666-97,50,37.4,0.5,-17,8,1,31.3
Ma et al.,ASTM C666-97,100,37.4,0.5,-17,8,1,24.6
Zhang et al.,GB/T 50082-2009,0,57.4,0.4,-15,8,0,57.4
Zhang et al.,GB/T 50082-2009,10,57.4,0.4,-15,8,0,54.7
Zhang et al.,GB/T 50082-2009,50,57.4,0.4,-15,8,0,49.2
Zhang et al.,GB/T 50082-2009,100,57.4,0.4,-15,8,0,40.8
Zhang et al.,GB/T 50082-2009,0,36.6,0.6,-15,8,0,36.6
Zhang et al.,GB/T 50082-2009,10,36.6,0.6,-15,8,0,28.9
Zhang et al.,GB/T 50082-2009,50,36.6,0.6,-15,8,0,14.3
Zhang et al.,GB/T 50082-2009,0,33.5,0.6,-15,8,1,33.5
Zhang et al.,GB/T 50082-2009,10,33.5,0.6,-15,8,1,32.2
Zhang et al.,GB/T 50082-2009,50,33.5,0.6,-15,8,1,31.2
Zhang et al.,GB/T 50082-2009,100,33.5,0.6,-15,8,1,23.1
Shang et al.,GB/T 50082-2009,0,26.3,0.4,-15,6,1,26.3
Shang et al.,GB/T 50082-2009,100,26.3,0.4,-15,6,1,25.9
Shang et al.,GB/T 50082-2009,200,26.3,0.4,-15,6,1,23.3
Shang et al.,GB/T 50082-2009,300,26.3,0.4,-15,6,1,22.6
Shang et al.,GB/T 50082-2009,0,50.7,0.45,-18,6,0,50.7
Shang et al.,GB/T 50082-2009,25,50.7,0.45,-18,6,0,45.2
Shang et al.,GB/T 50082-2009,50,50.7,0.45,-18,6,0,37.5
Shang et al.,GB/T 50082-2009,75,50.7,0.45,-18,6,0,35.2
